eps,min_samples,n_clusters
0.5,5,0
1.0,5,0
1.5,5,0
2.0,5,0
2.5,5,0
3.0,5,0
3.5,5,0
4.0,5,0
4.5,5,0
5.0,5,0
5.5,5,1
6.0,5,1
6.5,5,2
7.0,5,3
7.5,5,3
8.0,5,4
8.5,5,4
9.0,5,4
9.5,5,4
10.0,5,4
10.5,5,4
11.0,5,4
11.5,5,4
12.0,5,2
