@relation summary_features_participants_classification_th20-weka.filters.unsupervised.attribute.Remove-R10

@attribute n_faces numeric
@attribute avg_confidence_faces numeric
@attribute std_confidence_faces numeric
@attribute avg_relativeSize_faces numeric
@attribute std_relativeSize_faces numeric
@attribute avg_thirdRule_x numeric
@attribute std_thirdRule_x numeric
@attribute avg_thirdRule_y numeric
@attribute std_thirdRule_y numeric
@attribute num_clts numeric
@attribute avg_silhouette numeric
@attribute avg_intra_clt_dist numeric
@attribute avg_inter_clt_dist numeric
@attribute faces_in_noise_clt numeric
@attribute num_core_samples numeric
@attribute avg_imgs_clt numeric
@attribute avg_std_silhouette numeric
@attribute avg_std_intra_clt_dist numeric
@attribute avg_std_inter_clt_dist numeric
@attribute avg_n_core_samples numeric
@attribute std_n_core_samples numeric
@attribute GTrends_popularity numeric
@attribute label {1,0}

@data
104,0.998955,0.002813,9.879089,9.485599,0.923077,0.552001,0.596154,0.530968,4,0.123494,13.019135,14.835318,49,42,13.75,0.061191,1.091288,0.671184,10.5,4.795832,264,0
109,0.998778,0.003034,5.968896,8.468094,0.972477,0.673008,0.724771,0.606623,1,0.026445,15.245007,15.643637,45,40,64,0.022217,0.903674,0.81854,40,0,100,0
105,0.998832,0.003221,4.937363,4.894262,0.990476,0.700209,0.628571,0.523618,1,0.100312,13.998892,15.581327,55,43,50,0.120718,1.509291,0.875042,43,0,114,1
99,0.999079,0.001796,8.252349,11.537232,1,0.534522,0.383838,0.509243,1,0.281421,11.344503,15.798473,24,71,75,0.086673,1.354312,0.484431,71,0,100,1
150,0.999365,0.002328,6.797987,5.602507,0.966667,0.617602,0.62,0.55163,3,0.283318,9.890203,13.802912,36,109,38,0.066021,0.8805,0.541038,36.333333,43.36281,1380,1
131,0.999442,0.002052,6.258201,5.310916,0.977099,0.625923,0.40458,0.492695,3,0.234755,11.476746,14.966849,38,93,31,0.070048,1.237906,0.691987,31,42.461747,100,1
102,0.998212,0.002584,5.93355,6.057396,0.95098,0.586607,0.343137,0.477101,1,0.21778,12.292058,15.711392,40,58,62,0.088345,1.481195,0.3194,58,0,100,1
121,0.999102,0.002624,12.271257,11.512867,0.983471,0.499724,0.68595,0.500551,2,0.023808,14.946026,15.349428,107,11,7,0.061055,1.112407,0.379917,5.5,0.707107,514,0
117,0.999298,0.001835,4.571115,4.512843,0.91453,0.650897,0.683761,0.638554,3,0.077511,13.95614,15.11162,82,31,11.666667,0.061107,0.865587,0.573351,10.333333,6.429101,0,0
114,0.999607,0.000785,6.78398,7.043473,1.008772,0.671751,0.526316,0.551916,1,0.046334,14.716013,15.456665,101,12,13,0.045879,0.810436,0.263395,12,0,100,0
144,0.999599,0.001576,7.823663,6.987713,1.006944,0.642292,0.638889,0.481999,2,0.279354,10.854067,15.071518,27,117,58.5,0.048552,0.772971,0.656302,58.5,54.447222,188,1
131,0.99905,0.002625,11.749885,12.637118,1,0.59485,0.671756,0.518025,1,0.117714,14.231709,16.155636,97,31,34,0.054702,0.988145,0.305653,31,0,100,1
81,0.998713,0.002646,14.213687,14.357118,0.91358,0.595767,0.617284,0.537771,1,0.028137,15.02957,15.453234,33,25,48,0.024105,0.773576,0.737149,25,0,0,0
46,0.999079,0.002262,7.637061,10.341556,0.913043,0.589768,0.521739,0.623222,1,-0.000919,15.57091,15.527763,31,3,15,0.02633,0.916422,0.914292,3,0,0,0
117,0.999445,0.002237,8.8613,6.469326,0.957265,0.515169,0.777778,0.437688,1,0.328299,10.494805,15.628868,21,93,96,0.064909,1.020663,0.520404,93,0,281,1
173,0.999232,0.001713,5.09121,4.269077,1.011561,0.707012,0.479769,0.53472,3,0.181062,12.718877,15.619697,47,111,42,0.088401,0.951508,0.86459,37,60.630026,330,1
99,0.999255,0.001863,12.355595,12.613854,0.949495,0.437379,0.646465,0.521245,2,0.085135,14.148033,15.51096,66,24,16.5,0.057914,0.946707,0.390915,12,9.899495,106,0
109,0.999408,0.001531,11.475279,10.122886,1,0.360041,0.614679,0.488919,4,0.117362,12.930195,14.578879,58,44,12.75,0.110492,1.533177,0.774153,11,6.683313,763,0
159,0.999559,0.000955,4.576706,4.551871,1,0.605878,0.459119,0.548209,1,0.279113,11.347382,15.740913,63,91,96,0.076268,1.33377,0.392936,91,0,193,1
125,0.999331,0.002293,6.353236,8.205246,0.968,0.552648,0.344,0.525234,4,0.083054,13.708608,14.959591,86,33,9.75,0.07273,1.008909,0.615845,8.25,4.349329,101,0
92,0.999247,0.002024,7.863152,9.002938,0.902174,0.630015,0.586957,0.516799,2,0.094668,14.15069,15.666412,36,49,28,0.063031,0.822927,0.592085,24.5,27.577164,116,1
126,0.99962,0.001196,5.957272,5.092036,1.007937,0.613137,0.484127,0.561913,1,0.360978,10.105901,15.836784,30,94,96,0.063438,1.029364,0.366976,94,0,100,1
110,0.999376,0.00228,10.702579,11.802388,0.972727,0.627491,0.545455,0.568861,1,0.309869,11.141129,16.148754,25,82,85,0.09888,1.569025,0.437646,82,0,100,1
111,0.999522,0.001604,11.801167,9.755237,0.963964,0.484823,0.63964,0.482282,1,0.478,7.81287,14.944118,10,100,101,0.077405,1.251823,0.265847,100,0,2969,1
123,0.99963,0.001764,5.71583,4.734522,1.03252,0.526899,0.414634,0.526772,2,0.369503,9.966977,15.922831,11,109,56,0.063403,0.903208,0.541921,54.5,67.175144,215,1
139,0.999489,0.001307,4.71913,4.40786,0.985612,0.636858,0.410072,0.508093,1,0.354268,10.616242,16.544029,37,98,102,0.145749,1.920163,0.826737,98,0,108,1
64,0.999167,0.001836,10.74881,12.268371,1,0.590937,0.5625,0.58757,1,0.060757,14.496977,15.496355,59,1,5,0.018597,0.341394,0.270652,1,0,276,0
97,0.999465,0.002191,7.013001,6.076842,1.010309,0.395149,0.463918,0.501287,2,0.263809,11.041575,15.074337,31,64,33,0.049405,0.876218,0.398069,32,35.355339,284,0
142,0.999628,0.001065,5.556639,6.789266,1,0.825137,0.577465,0.54997,1,0.24054,11.750574,15.464529,73,67,69,0.060224,1.036664,0.355763,67,0,106,1
118,0.999092,0.001792,6.733197,5.215851,1.016949,0.471097,0.5,0.502132,1,0.30574,11.133181,16.102959,14,102,104,0.102198,1.290677,0.748717,102,0,1410,1
104,0.998817,0.002819,10.62473,13.07192,0.971154,0.582208,0.596154,0.493043,1,0.047432,15.172129,15.963164,97,3,7,0.056517,0.986986,0.254087,3,0,100,0
119,0.999324,0.001554,8.106903,7.464909,1.07563,0.414967,0.554622,0.499109,1,0.364071,9.774111,15.444598,13,104,106,0.124937,1.558766,0.680469,104,0,1534,1
105,0.999396,0.001862,10.786268,9.073197,0.933333,0.373823,0.514286,0.502193,3,0.266412,11.137308,15.176358,33,64,24,0.100579,1.680438,0.434274,21.333333,18.175075,124,1
102,0.999144,0.002392,7.658579,7.333785,0.941176,0.523195,0.441176,0.49898,6,0.124671,12.85584,14.624949,55,39,7.833333,0.09023,1.273141,0.548599,6.5,4.135215,358,0
141,0.999735,0.000921,6.597425,5.299448,1.014184,0.654499,0.567376,0.551685,2,0.396391,8.959294,14.897333,32,105,54.5,0.072734,0.904661,0.571811,52.5,68.589358,101,1
116,0.999275,0.001704,9.214496,10.601492,0.956897,0.60995,0.62069,0.554118,1,0.318427,11.075237,16.295088,22,89,94,0.097652,1.331117,0.672951,89,0,142,1
139,0.998974,0.002461,9.233259,8.478386,1.007194,0.570995,0.633094,0.566503,3,0.28833,10.492621,14.927246,42,92,32.333333,0.061629,0.627899,0.643396,30.666667,43.592813,233,1
120,0.999694,0.001179,7.306656,5.824816,0.991667,0.572417,0.425,0.496416,2,0.18096,12.707467,15.572938,41,69,39.5,0.10154,1.549515,0.366556,34.5,47.376154,280,1
138,0.999108,0.00234,7.656963,9.084412,0.942029,0.681005,0.586957,0.588556,3,0.214365,12.094344,15.413533,62,72,25.333333,0.082389,1.071348,0.62621,24,25.514702,100,1
143,0.999269,0.001898,10.108471,7.064388,0.958042,0.626573,0.538462,0.514155,2,0.270605,11.241458,15.497159,43,98,50,0.060872,0.979983,0.347254,49,42.426407,371,0
116,0.999219,0.001974,8.820254,9.956611,1.025862,0.596529,0.491379,0.519125,3,0.091709,13.718076,15.059348,84,27,10.666667,0.055531,0.987067,0.621714,9,5.291503,280,0
