@relation summary_features_participants_classification-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute n_faces numeric
@attribute avg_confidence_faces numeric
@attribute std_confidence_faces numeric
@attribute avg_relativeSize_faces numeric
@attribute std_relativeSize_faces numeric
@attribute avg_thirdRule_x numeric
@attribute std_thirdRule_x numeric
@attribute avg_thirdRule_y numeric
@attribute std_thirdRule_y numeric
@attribute num_clts numeric
@attribute avg_silhouette numeric
@attribute avg_intra_clt_dist numeric
@attribute avg_inter_clt_dist numeric
@attribute faces_in_noise_clt numeric
@attribute num_core_samples numeric
@attribute avg_imgs_clt numeric
@attribute avg_std_silhouette numeric
@attribute avg_std_intra_clt_dist numeric
@attribute avg_std_inter_clt_dist numeric
@attribute avg_n_core_samples numeric
@attribute std_n_core_samples numeric
@attribute GTrends_popularity numeric
@attribute label {1,0}

@data
0.55303,0.98622,0.042913,0.441047,0.287742,0.224852,0.246491,0.279859,0.480117,0.2,0.790376,0.177593,0.341656,0,0.848,0.441964,0.466206,0.543142,0.251245,0.477273,0.913462,0.022665,1
0.901515,0.830709,0.294882,0.136168,0.12284,0.45916,0.809302,0.394901,0.658998,0.2,0.264306,0.757201,0.618991,0.659794,0.656,0.361607,0.693611,0.722013,0.615578,0.368182,0.701923,0.019708,1
0.19697,0.575459,0.412205,0.701889,0.6188,0.163627,0.385503,0.693817,0.487591,0.2,0,0.950514,0.40895,0.484536,0.04,0.022321,0.471082,0.527541,0.722824,0.018182,0,0,0
0.704545,0.330709,0.687795,0.282648,0.1185,0.356603,0.581031,0.072919,0.307004,0.6,0.573642,0.33737,0.174699,0.123711,0.872,0.216518,0.46284,0.55783,0.336191,0.240909,0.63979,0.028183,1
0.439394,0.487533,0.800787,0.577125,0.457955,0.120509,0.412732,0.570833,0.46781,0.6,0.277896,0.67108,0.376637,0.402062,0.328,0.078125,0.334985,0.474987,0.631769,0.086364,0.065215,0.05203,0
0.477273,0.371391,0.887795,0.210904,0.377999,0.405307,0.672908,0.850181,0.842049,0,0.080214,0.957992,0.671524,0.360825,0.312,0.526786,0.02847,0.356151,0.854966,0.354545,0,0.019708,0
0.44697,0.406824,0.961417,0.114293,0.097165,0.509074,0.731393,0.64124,0.431452,0,0.230676,0.797369,0.648792,0.463918,0.336,0.401786,0.803141,0.739752,0.940549,0.381818,0,0.022467,0
0.401515,0.568898,0.400394,0.424768,0.619174,0.563982,0.375151,0.109694,0.360344,0,0.599582,0.455222,0.72801,0.14433,0.56,0.625,0.535391,0.641587,0.348898,0.636364,0,0.019708,1
0.787879,0.756562,0.609843,0.288555,0.152819,0.371812,0.55378,0.622625,0.570017,0.4,0.603446,0.267765,0,0.268041,0.864,0.294643,0.372971,0.341472,0.434639,0.321212,0.589656,0.271975,1
0.643939,0.807087,0.501181,0.238,0.129906,0.431954,0.571671,0.154745,0.278487,0.4,0.504527,0.472268,0.424621,0.28866,0.736,0.232143,0.404642,0.567855,0.663279,0.272727,0.577404,0.019708,1
0.424242,0,0.71063,0.207594,0.188565,0.281374,0.487138,0.021294,0.201348,0,0.46995,0.577361,0.696242,0.309278,0.456,0.508929,0.54854,0.721956,0.098928,0.518182,0,0.019708,1
0.568182,0.58399,0.726378,0.801171,0.617259,0.468689,0.300332,0.765864,0.317347,0.2,0.074843,0.919453,0.564192,1,0.08,0.017857,0.333915,0.488363,0.190592,0.040909,0.009615,0.101301,0
0.537879,0.712598,0.415748,0.079991,0.067193,0.071234,0.625368,0.76111,1,0.4,0.184232,0.791859,0.477436,0.742268,0.24,0.059524,0.334324,0.332026,0.483583,0.084848,0.087424,0,0
0.515152,0.915354,0.002362,0.287244,0.266051,0.614554,0.670206,0.419148,0.571432,0,0.120727,0.889805,0.603314,0.938144,0.088,0.071429,0.214562,0.297093,0.014099,0.1,0,0.019708,0
0.742424,0.910105,0.31378,0.384618,0.26167,0.604015,0.606866,0.663651,0.225577,0.2,0.595372,0.392006,0.462806,0.175258,0.928,0.477679,0.235584,0.273363,0.609227,0.522727,0.740385,0.037052,1
